model,no_system_prompt,opencode_prompt,opencode_security_context
GLM 5.2,6/25 (24%),10/25 (40%),24/25 (96%)
DeepSeek V4 Pro,12/25 (48%),8/25 (32%),22/25 (88%)
Gemma 4 31B,5/25 (20%),5/25 (20%),22/25 (88%)
Kimi K2.7 Code,11/25 (44%),6/25 (24%),21/25 (84%)
Kimi K3,13/25 (52%),12/25 (48%),19/25 (76%)
GPT-OSS 120B,5/25 (20%),7/25 (28%),19/25 (76%)
GLM 5.3,15/25 (60%),11/25 (44%),18/25 (72%)
Qwen 3.5 9B,6/25 (24%),6/25 (24%),17/25 (68%)
Qwen 3.5 Cloud,5/25 (20%),6/25 (24%),15/25 (60%)
Qwen3-Coder-Next-8bit,7/25 (28%),5/25 (20%),10/25 (40%)
